"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
NA,NA,NA,NA,"MALAT1","CCBE1",NA
NA,NA,NA,NA,"GJC1","MT-ND1",NA
NA,NA,NA,NA,"FYN","SLC39A7",NA
NA,NA,NA,NA,"PACS1","SSH1",NA
NA,NA,NA,NA,"ERBIN","MGAT5",NA
NA,NA,NA,NA,"ATXN10","CALR",NA
NA,NA,NA,NA,"KIF13A","TMEM132A",NA
NA,NA,NA,NA,"OGA","WWC2",NA
NA,NA,NA,NA,"MYO1E","CEMIP2",NA
NA,NA,NA,NA,"ABL2","GPR176",NA
NA,NA,NA,NA,"ETNK1","LRPAP1",NA
NA,NA,NA,NA,"KMT2C","ZEB2",NA
NA,NA,NA,NA,"CREBBP","UBR5",NA
NA,NA,NA,NA,"ABLIM3","CDH13",NA
NA,NA,NA,NA,"LHFPL2","NF1",NA
NA,NA,NA,NA,"EDIL3","ERP44",NA
NA,NA,NA,NA,"FNDC3A","FAM126A",NA
NA,NA,NA,NA,"EPS8","TNFAIP3",NA
NA,NA,NA,NA,"USP34","PKD2",NA
NA,NA,NA,NA,"CNOT2","KDELR3",NA
NA,NA,NA,NA,"NF1","CDK17",NA
NA,NA,NA,NA,"TEAD1","LEPROT",NA
NA,NA,NA,NA,"MYO10","MFSD1",NA
NA,NA,NA,NA,"ARHGEF7","RNF213",NA
NA,NA,NA,NA,"BIRC6","CREB3L2",NA
NA,NA,NA,NA,"PTEN","DCBLD2",NA
NA,NA,NA,NA,"TASOR2","CCNL1",NA
NA,NA,NA,NA,"TCF4","BIRC6",NA
NA,NA,NA,NA,"CEP170","LGALS3BP",NA
NA,NA,NA,NA,"NPC1",NA,NA
NA,NA,NA,NA,"AMPD3",NA,NA
NA,NA,NA,NA,"IL4R",NA,NA
NA,NA,NA,NA,"CPED1",NA,NA
NA,NA,NA,NA,"SSH1",NA,NA
NA,NA,NA,NA,"SMC5",NA,NA
NA,NA,NA,NA,"MARCH6",NA,NA
NA,NA,NA,NA,"MARCH3",NA,NA
NA,NA,NA,NA,"CDK6",NA,NA
NA,NA,NA,NA,"GBE1",NA,NA
NA,NA,NA,NA,"RABGAP1",NA,NA
NA,NA,NA,NA,"RABGEF1",NA,NA
NA,NA,NA,NA,"PCNX4",NA,NA
NA,NA,NA,NA,"EPB41L2",NA,NA
NA,NA,NA,NA,"ADAM19",NA,NA
NA,NA,NA,NA,"CCDC91",NA,NA
NA,NA,NA,NA,"SLC4A7",NA,NA
NA,NA,NA,NA,"DST",NA,NA
NA,NA,NA,NA,"ZNF638",NA,NA
NA,NA,NA,NA,"CAP2",NA,NA
NA,NA,NA,NA,"AHI1",NA,NA
NA,NA,NA,NA,"ARIH1",NA,NA
NA,NA,NA,NA,"PICALM",NA,NA
NA,NA,NA,NA,"GNA12",NA,NA
NA,NA,NA,NA,"ZEB1",NA,NA
NA,NA,NA,NA,"RASA2",NA,NA
NA,NA,NA,NA,"CHD2",NA,NA
NA,NA,NA,NA,"HIVEP2",NA,NA
NA,NA,NA,NA,"EIF4G3",NA,NA
NA,NA,NA,NA,"MNAT1",NA,NA
NA,NA,NA,NA,"ANKRD12",NA,NA
NA,NA,NA,NA,"N4BP2L2",NA,NA
NA,NA,NA,NA,"MARCH7",NA,NA
NA,NA,NA,NA,"GIGYF2",NA,NA
NA,NA,NA,NA,"TSPAN5",NA,NA
NA,NA,NA,NA,"SSH2",NA,NA
NA,NA,NA,NA,"FRYL",NA,NA
NA,NA,NA,NA,"FLNB",NA,NA
NA,NA,NA,NA,"PIK3C2A",NA,NA
NA,NA,NA,NA,"TBC1D1",NA,NA
NA,NA,NA,NA,"ARHGAP22",NA,NA
NA,NA,NA,NA,"DUSP5",NA,NA
NA,NA,NA,NA,"CASK",NA,NA
NA,NA,NA,NA,"TAOK1",NA,NA
NA,NA,NA,NA,"HIPK2",NA,NA
NA,NA,NA,NA,"EVI5",NA,NA
NA,NA,NA,NA,"SETD5",NA,NA
NA,NA,NA,NA,"SCFD1",NA,NA
NA,NA,NA,NA,"GPR176",NA,NA
NA,NA,NA,NA,"XRN1",NA,NA
NA,NA,NA,NA,"PKN2",NA,NA
NA,NA,NA,NA,"TRAM2",NA,NA
NA,NA,NA,NA,"USP15",NA,NA
NA,NA,NA,NA,"ACBD6",NA,NA
NA,NA,NA,NA,"RB1",NA,NA
NA,NA,NA,NA,"ITCH",NA,NA
NA,NA,NA,NA,"TRA2A",NA,NA
NA,NA,NA,NA,"PUM1",NA,NA
NA,NA,NA,NA,"ANKIB1",NA,NA
NA,NA,NA,NA,"KIRREL1",NA,NA
NA,NA,NA,NA,"PPP3CC",NA,NA
NA,NA,NA,NA,"CPEB4",NA,NA
NA,NA,NA,NA,"YTHDF3",NA,NA
NA,NA,NA,NA,"TTC17",NA,NA
NA,NA,NA,NA,"TGFB2",NA,NA
NA,NA,NA,NA,"FAM107B",NA,NA
NA,NA,NA,NA,"CTPS1",NA,NA
NA,NA,NA,NA,"MYOF",NA,NA
NA,NA,NA,NA,"CLIP2",NA,NA
NA,NA,NA,NA,"CRIM1",NA,NA
NA,NA,NA,NA,"MYO9B",NA,NA
NA,NA,NA,NA,"SLC20A2",NA,NA
NA,NA,NA,NA,"BACH1",NA,NA
NA,NA,NA,NA,"CEMIP2",NA,NA
NA,NA,NA,NA,"UACA",NA,NA
NA,NA,NA,NA,"TNRC6A",NA,NA
NA,NA,NA,NA,"GBF1",NA,NA
NA,NA,NA,NA,"GLS",NA,NA
NA,NA,NA,NA,"MBNL2",NA,NA
NA,NA,NA,NA,"NEDD4",NA,NA
NA,NA,NA,NA,"SEPTIN9",NA,NA
NA,NA,NA,NA,"ARHGAP21",NA,NA
NA,NA,NA,NA,"SETD2",NA,NA
NA,NA,NA,NA,"ETS1",NA,NA
NA,NA,NA,NA,"PDS5A",NA,NA
NA,NA,NA,NA,"ATM",NA,NA
NA,NA,NA,NA,"AP3B1",NA,NA
NA,NA,NA,NA,"UVRAG",NA,NA
NA,NA,NA,NA,"PTPRE",NA,NA
NA,NA,NA,NA,"PTPN12",NA,NA
NA,NA,NA,NA,"ASH1L",NA,NA
NA,NA,NA,NA,"LTBP1",NA,NA
NA,NA,NA,NA,"FP671120.4",NA,NA
NA,NA,NA,NA,"LHFPL6",NA,NA
NA,NA,NA,NA,"ST3GAL1",NA,NA
NA,NA,NA,NA,"TRPC4AP",NA,NA
NA,NA,NA,NA,"PALM2-AKAP2",NA,NA
NA,NA,NA,NA,"ARID4B",NA,NA
NA,NA,NA,NA,"FRMD6",NA,NA
NA,NA,NA,NA,"GALNT2",NA,NA
NA,NA,NA,NA,"ARFGEF1",NA,NA
NA,NA,NA,NA,"SENP6",NA,NA
NA,NA,NA,NA,"MAP4K5",NA,NA
NA,NA,NA,NA,"RASSF8",NA,NA
NA,NA,NA,NA,"FAM126A",NA,NA
NA,NA,NA,NA,"CDH11",NA,NA
NA,NA,NA,NA,"NIPBL",NA,NA
NA,NA,NA,NA,"MACF1",NA,NA
NA,NA,NA,NA,"ZEB2",NA,NA
NA,NA,NA,NA,"AAK1",NA,NA
NA,NA,NA,NA,"SUCO",NA,NA
NA,NA,NA,NA,"WSB1",NA,NA
NA,NA,NA,NA,"PHACTR4",NA,NA
NA,NA,NA,NA,"TNS1",NA,NA
NA,NA,NA,NA,"TNS3",NA,NA
NA,NA,NA,NA,"CCSER2",NA,NA
NA,NA,NA,NA,"ZMYM4",NA,NA
NA,NA,NA,NA,"SVIL",NA,NA
NA,NA,NA,NA,"CDC27",NA,NA
NA,NA,NA,NA,"WAC",NA,NA
NA,NA,NA,NA,"NBEAL1",NA,NA
NA,NA,NA,NA,"FBN1",NA,NA
NA,NA,NA,NA,"MT-ATP6",NA,NA
NA,NA,NA,NA,"MICAL2",NA,NA
NA,NA,NA,NA,"TPST1",NA,NA
NA,NA,NA,NA,"ANO6",NA,NA
NA,NA,NA,NA,"ZNF644",NA,NA
NA,NA,NA,NA,"PAWR",NA,NA
NA,NA,NA,NA,"MT-ND1",NA,NA
NA,NA,NA,NA,"PAM",NA,NA
NA,NA,NA,NA,"YAP1",NA,NA
NA,NA,NA,NA,"VPS13C",NA,NA
NA,NA,NA,NA,"PKD2",NA,NA
NA,NA,NA,NA,"RRAS2",NA,NA
NA,NA,NA,NA,"ATP13A3",NA,NA
NA,NA,NA,NA,"VMP1",NA,NA
NA,NA,NA,NA,"LUC7L2",NA,NA
NA,NA,NA,NA,"ENAH",NA,NA
NA,NA,NA,NA,"CTNND1",NA,NA
NA,NA,NA,NA,"PPFIBP1",NA,NA
NA,NA,NA,NA,"MT-ND4",NA,NA
NA,NA,NA,NA,"PDLIM5",NA,NA
NA,NA,NA,NA,"BMPR2",NA,NA
NA,NA,NA,NA,"MT-CO3",NA,NA
NA,NA,NA,NA,"BCL2L1",NA,NA
NA,NA,NA,NA,"ARHGEF12",NA,NA
NA,NA,NA,NA,"SLC30A7",NA,NA
NA,NA,NA,NA,"MT-ND2",NA,NA
NA,NA,NA,NA,"SEC24D",NA,NA
NA,NA,NA,NA,"ZNF292",NA,NA
NA,NA,NA,NA,"KMT2E",NA,NA
NA,NA,NA,NA,"TNRC6B",NA,NA
NA,NA,NA,NA,"SLAIN2",NA,NA
NA,NA,NA,NA,"MT-ND3",NA,NA
NA,NA,NA,NA,"MT-ATP8",NA,NA
NA,NA,NA,NA,"VGLL3",NA,NA
NA,NA,NA,NA,"TAOK3",NA,NA
NA,NA,NA,NA,"MAP4K4",NA,NA
NA,NA,NA,NA,"MSRB3",NA,NA
NA,NA,NA,NA,"ARHGAP5",NA,NA
NA,NA,NA,NA,"NCOR1",NA,NA
NA,NA,NA,NA,"LPAR1",NA,NA
NA,NA,NA,NA,"KLC1",NA,NA
NA,NA,NA,NA,"NECTIN3",NA,NA
NA,NA,NA,NA,"CNST",NA,NA
NA,NA,NA,NA,"ANKRD11",NA,NA
NA,NA,NA,NA,"ABHD2",NA,NA
NA,NA,NA,NA,"PDE4DIP",NA,NA
NA,NA,NA,NA,"LUZP1",NA,NA
NA,NA,NA,NA,"UBE2H",NA,NA
NA,NA,NA,NA,"CD46",NA,NA
NA,NA,NA,NA,"MYCBP2",NA,NA
NA,NA,NA,NA,"CELF1",NA,NA
NA,NA,NA,NA,"CFLAR",NA,NA
NA,NA,NA,NA,"LIMS1",NA,NA
NA,NA,NA,NA,"OSBPL9",NA,NA
NA,NA,NA,NA,"TFPI",NA,NA
NA,NA,NA,NA,"SH3KBP1",NA,NA
NA,NA,NA,NA,"MYO1B",NA,NA
NA,NA,NA,NA,"CORO1C",NA,NA
NA,NA,NA,NA,"DDR2",NA,NA
NA,NA,NA,NA,"NTN4",NA,NA
NA,NA,NA,NA,"UBR4",NA,NA
NA,NA,NA,NA,"PPP1R12A",NA,NA
NA,NA,NA,NA,"DDX17",NA,NA
NA,NA,NA,NA,"QKI",NA,NA
NA,NA,NA,NA,"ASXL1",NA,NA
NA,NA,NA,NA,"SLC20A1",NA,NA
NA,NA,NA,NA,"CLIP1",NA,NA
NA,NA,NA,NA,"MT-CYB",NA,NA
NA,NA,NA,NA,"ANTXR2",NA,NA
NA,NA,NA,NA,"ITFG1",NA,NA
NA,NA,NA,NA,"ATP2C1",NA,NA
NA,NA,NA,NA,"RAB3GAP1",NA,NA
NA,NA,NA,NA,"CCNL1",NA,NA
NA,NA,NA,NA,"FUS",NA,NA
NA,NA,NA,NA,"SRSF4",NA,NA
NA,NA,NA,NA,"NRP1",NA,NA
NA,NA,NA,NA,"CEP350",NA,NA
NA,NA,NA,NA,"NR3C1",NA,NA
NA,NA,NA,NA,"ARID5B",NA,NA
NA,NA,NA,NA,"NOTCH2",NA,NA
NA,NA,NA,NA,"FAP",NA,NA
NA,NA,NA,NA,"STT3B",NA,NA
NA,NA,NA,NA,"TRIP12",NA,NA
NA,NA,NA,NA,"MT-ND5",NA,NA
NA,NA,NA,NA,"GOLGA4",NA,NA
NA,NA,NA,NA,"RSF1",NA,NA
NA,NA,NA,NA,"ITGAV",NA,NA
NA,NA,NA,NA,"THOC2",NA,NA
NA,NA,NA,NA,"USP9X",NA,NA
NA,NA,NA,NA,"NID2",NA,NA
NA,NA,NA,NA,"SLC35F5",NA,NA
NA,NA,NA,NA,"FAT1",NA,NA
NA,NA,NA,NA,"GLG1",NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
